Init probability probabilities: [[0.730817437171936, 0.26918256282806396]]
Feature 9 zeroed out, probabilities: 0.8092443943023682
Feature 168 zeroed out, probabilities: 0.8011600375175476
Feature 210 zeroed out, probabilities: 0.794788122177124
Feature 219 zeroed out, probabilities: 0.7946112751960754
Feature 193 zeroed out, probabilities: 0.7863780856132507
Feature 237 zeroed out, probabilities: 0.7863780856132507
Feature 285 zeroed out, probabilities: 0.7848712205886841
Feature 301 zeroed out, probabilities: 0.7848712205886841
Feature 289 zeroed out, probabilities: 0.7786651849746704
Feature 305 zeroed out, probabilities: 0.7786651849746704
Feature 76 zeroed out, probabilities: 0.7728374600410461
Feature 84 zeroed out, probabilities: 0.7728374600410461
Feature 92 zeroed out, probabilities: 0.7728374600410461
Feature 122 zeroed out, probabilities: 0.7678074240684509
Feature 130 zeroed out, probabilities: 0.7678074240684509
Feature 138 zeroed out, probabilities: 0.7678074240684509
Feature 171 zeroed out, probabilities: 0.7678074240684509
Feature 223 zeroed out, probabilities: 0.7678074240684509
Feature 10 zeroed out, probabilities: 0.766093909740448
Feature 220 zeroed out, probabilities: 0.7650907039642334
Feature 287 zeroed out, probabilities: 0.7650639414787292
Feature 303 zeroed out, probabilities: 0.7650639414787292
Feature 127 zeroed out, probabilities: 0.7622783184051514
Feature 135 zeroed out, probabilities: 0.7622783184051514
Feature 143 zeroed out, probabilities: 0.7622783184051514
Feature 176 zeroed out, probabilities: 0.7622783184051514
Feature 228 zeroed out, probabilities: 0.7622783184051514
Feature 184 zeroed out, probabilities: 0.7601839303970337
Feature 201 zeroed out, probabilities: 0.7601839303970337
Feature 245 zeroed out, probabilities: 0.7601839303970337
Feature 253 zeroed out, probabilities: 0.7601839303970337
Feature 261 zeroed out, probabilities: 0.7601839303970337
Feature 269 zeroed out, probabilities: 0.7601839303970337
Feature 277 zeroed out, probabilities: 0.7601839303970337
Feature 178 zeroed out, probabilities: 0.7572202682495117
Feature 195 zeroed out, probabilities: 0.7572202682495117
Feature 239 zeroed out, probabilities: 0.7572202682495117
Feature 247 zeroed out, probabilities: 0.7572202682495117
Feature 213 zeroed out, probabilities: 0.7549465298652649
Feature 100 zeroed out, probabilities: 0.7540969252586365
Feature 108 zeroed out, probabilities: 0.7540969252586365
Feature 116 zeroed out, probabilities: 0.7540969252586365
Feature 280 zeroed out, probabilities: 0.7522054314613342
Feature 296 zeroed out, probabilities: 0.7522054314613342
Feature 12 zeroed out, probabilities: 0.7508158683776855
Feature 166 zeroed out, probabilities: 0.7476581931114197
Feature 292 zeroed out, probabilities: 0.7473135590553284
Feature 308 zeroed out, probabilities: 0.7473135590553284
Feature 293 zeroed out, probabilities: 0.7465183138847351
Feature 309 zeroed out, probabilities: 0.7465183138847351
Feature 5 zeroed out, probabilities: 0.7458293437957764
Feature 183 zeroed out, probabilities: 0.745634138584137
Feature 200 zeroed out, probabilities: 0.745634138584137
Feature 244 zeroed out, probabilities: 0.745634138584137
Feature 252 zeroed out, probabilities: 0.745634138584137
Feature 332 zeroed out, probabilities: 0.7448987364768982
Feature 11 zeroed out, probabilities: 0.7429007291793823
Feature 258 zeroed out, probabilities: 0.7426455020904541
Feature 266 zeroed out, probabilities: 0.7426455020904541
Feature 274 zeroed out, probabilities: 0.7426455020904541
Feature 187 zeroed out, probabilities: 0.7419077157974243
Feature 231 zeroed out, probabilities: 0.7419077157974243
Feature 323 zeroed out, probabilities: 0.7410638928413391
Feature 255 zeroed out, probabilities: 0.7406671643257141
Feature 263 zeroed out, probabilities: 0.7406671643257141
Feature 271 zeroed out, probabilities: 0.7406671643257141
Feature 181 zeroed out, probabilities: 0.7398964166641235
Feature 198 zeroed out, probabilities: 0.7398964166641235
Feature 242 zeroed out, probabilities: 0.7398964166641235
Feature 161 zeroed out, probabilities: 0.7386666536331177
Feature 333 zeroed out, probabilities: 0.7377418875694275
Feature 186 zeroed out, probabilities: 0.7366286516189575
Feature 230 zeroed out, probabilities: 0.7366286516189575
Feature 260 zeroed out, probabilities: 0.7362763285636902
Feature 268 zeroed out, probabilities: 0.7362763285636902
Feature 276 zeroed out, probabilities: 0.7362763285636902
Feature 314 zeroed out, probabilities: 0.7351630926132202
Feature 281 zeroed out, probabilities: 0.7346065640449524
Feature 297 zeroed out, probabilities: 0.7346065640449524
Feature 312 zeroed out, probabilities: 0.7310677766799927
Feature 327 zeroed out, probabilities: 0.730842649936676
Feature 1 zeroed out, probabilities: 0.730817437171936
Feature 2 zeroed out, probabilities: 0.730817437171936
Feature 3 zeroed out, probabilities: 0.730817437171936
